CNIC Number,Wallet Balance,Phone Number
35201-1234567-1,$50.00,0300-1234567
61101-2345678-2,$120.75,0311-7654321
42101-3456789-3,$0.00,0345-9876543
37401-4567890-4,$15.25,0302-9988776
17301-5678901-5,$200.00,0333-1122334
33100-6789012-6,$89.99,0301-2244668
42101-7890123-7,$35.50,0321-5566778
37406-8901234-8,$75.10,0340-4433221
61101-9012345-9,$5.00,0307-2211003
35202-0123456-0,$180.00,0309-8877665
17302-2223334-1,$0.50,0336-1100998
36502-6592854-9,$250.00,0310-3322110
36502-6356765-2,$60.30,0308-4455667
36502-4257817-9,$9.99,0341-7788990
36501-6543452-8,$0.00,03434391746
36702-34127381-9,$0.00,03432342223
63429-21371231-3,$0.00,03086835659
21121-32121312-3,$0.00,030126900389
36502-21312431-7,$0.00,03126900389
36503-982343-9,$0.00,03086635659
6547-1723122-45,$0.00,03126900389
